program;number;section;title;credits;days;times;room;faculty;tags
THR;200L;;Advanced Topics in Production 1 a A. Kuznetsova;3.0;;;;A. Kuznetsova;
HIS;115L;;The Global Crisis;3.0;;;YOUN 201 E2, S;A. Tubb;
MUS;183L;;Centre College Choir;1.0;-M-W-F-;7:00-8:00PM;GRNT 114 A**;J. Van Niekerk;
MAT;300L;;Foundation of Mathematics;3.0;;;OLIN 109;P. Poudel;
POL;130L;;Political Institutions;3.0;;;;W. Mehrabi;
POL;338L;;Incarceration;3.0;;;OLIN 128;C. Paskewich;
CHE;131L;;CHE 131 Lab;0.0;;;YOUN 202;E. Wachter;
BIO;308L;;Paleontology;4.0;;;YOUN 138;A. Falk;
POL;331L;;American Courts;3.0;;;YOUN 138;P. Bergeron;
MUS;195L;;Chamber Music 1 a;5.0;;;GRNT 113 A**;R. Seebacher;
SPA;221;;Medical Spanish;3.0;;;CRNS 468;Sprinceana;
ECO;110L;;Introduction to Economics;3.0;;;CRNS 102 E2;K. Jones;
ENG;403L;;Shakespeare Comedy of Love;3.0;;;GRNT 403;P. White;
PSY;111L;;Survey of Psychology;3.0;;;YOUN 231 E3;M. Stephens;
MAT;130L;;Introduction to Statistics;3.0;-M-W-F-;10:20-11:20AM;YOUN 201;D. Swartzentruber;
PSY;340;;Psychometrics;3.0;;;YOUN 112;J. Wertz;
ECO;385L;;Health Economics;3.0;;;CRNS 302;J. Perry;
BIO;392L;;Bioinformatics;4.0;;;YOUN 113;K. O'Quin;
THR;110L;;Scenic Practicum 1 a A. Kuznetsova;0.0;;;;A. Kuznetsova;
MAT;360;;Differential Equations;3.0;;;OLIN 201;H. Pallage;
CHE;390L;;Teaching and Learning in Chemistry 1 a;3.0;;;OLIN 202;L. Demoranville;
SPA;220L;;Intermediate Spanish II;3.0;;;;C. Limerick;
BIO;110L;;BIO 110 Lab;0.0;;;YOUN 206;C. O'Quin;
BIO;500L;;Senior Seminar;3.0;-M-W-F-;1:50-3:20PM;;A. Falk;
THR;103L;;Modern Dance Performance 1 b Stephenson/Tomb;3.0;;;GRNT 502;Stephenson/Tomb;
MAT;130L;;Introduction to Statistics;3.0;;;YOUN 201;D. Hopper;
MAT;130L;;Introduction to Statistics;3.0;;;YOUN 201;D. Hopper;
POL;120L;;Political Ideaologies;3.0;;;GRNT 409 E2;M. Novak-Herzog;
MUS;196L;;Kentucky Music Ensemble 1 a N Link;4.0;;;GRNT 122 A**;N Link;
THR;310;;Improvisation;3.0;;;GRNT 502 A;J. Goff;
POL;205L;;Research Methods;3.0;;;OLIN 208;W. Mehrabi;
SPA;250L;;Intro to Literary Analysis;3.0;;;YOUN 134;G. Ballard;
MUS;191L;;Centre Symphony Orchestra 1 a R. Seebacher;0.0;;;GRNT 113 A**;R. Seebacher;
CHE;132L;;General Chemistry-II;4.0;;;OLIN 202;D. Scott;
CHE;350L;;Instrumental Analysis;4.0;;;OLIN 202;L. Demoranville;
SPA;120L;;Beginning Spanish II;4.0;-M-W-F-;11:30-12:30PM;;Aja Lopez;
POL;300L;;Western Political Theory I;3.0;;;OLIN 128;C. Paskewich;
PSY;210;;Experimental Psychology;4.0;;;YOUN 213 R;M. Cope;
POL;120L;;Political Ideaologies;3.0;;;GRNT 409;M. Novak-Herzog;
PHI;110L;;Introduction to Philosophy;3.0;;;CRNS 302;A. Roche;
BIO;340;;Microbiology;4.0;;;YOUN 111;D. Skidmore;
ENG;335L;;Beyond the Short Story;3.0;;;GRNT 403 A;A. Osanloo;
ECO;500L;;Senior Seminar;3.0;;;OLIN 128;K. Greer;
BIO;210;;Genetics;4.0;;;YOUN 102 E3;A. Hale;
ENG;339L;;Cormac McCarthy;3.0;;;YOUN 111;S. Peebles;
REL;499L;;Senior Seminar;3.0;;;;L. Jefferson;
MUS;184L;;Centre Singers;2.0;-M-W-F-;6:00-8:00PM;GRNT 114 A**;J. Van Niekerk;
HIS;121L;;Cultivating the Wilderness;3.0;-M-W-F-;1:50-2:50PM;GRNT 402 E2, S;T. Strauch;
ECO;280L;;Data Analysis & Communication;3.0;;;YOUN 110;S. Davis;
CHE;500L;;Senior Seminar;3.0;;;YOUN 112;K. Paumi;
HIS;126L;;With Liberty and Justice for All;3.0;;;OLIN 124 E2, D;S. Egge;
HIS;343L;;The First World War in Africa;3.0;;;CRNS 301;J. Earle;
CHE;241L;;CHE 241 Lab;0.0;;;YOUN 236;A. Hitron;
HIS;333L;;Chairman Mao's China;3.0;;;OLIN 124;J. Harney;
MAT;426L;;Topics in Linear Algebra;3.0;;;OLIN 109;J. Kilty;
THR;350;;Scenery & Costume Design;3.0;-M-W-F-;12:40-1:40PM;GRNT 504;A. Kuznetsova;
PSY;491;;Advanced Research Topics;3.0;;;YOUN 213;M. Cope;
BIO;360L;;BIO 360 Lab 0 a J. Shaffer;3.0;;;YOUN 129;J. Shaffer;
SPA;346L;;Modern Spanish Theatre;3.0;;;;I. Sprinceana;
PSY;111L;;Survey of Psychology;3.0;;;YOUN 231 E3;M. Stephens;
ECO;395L;;Empirical Analysis in Economics and Finance;3.0;;;CRNS 301;A. Eddhir;
CSC;370L;;Design & Analysis of Algorithms;3.0;;;OLIN 211;W. Bailey;
PSY;305L;;Psychology of Learning;3.0;;;YOUN 231;B. Cusato;
BIO;230;;Nutrition;3.0;;;YOUN 134;A. Carr;
CHE;362L;;Quantum Chemistry and Spectroscopy;4.0;;;OLIN 122;K. Fulfer;
HIS;302L;;History of Rome;3.0;;;YOUN 101;J. Morrison;
ECO;480L;;Business Strategies & Market Structure;3.0;;;YOUN 111;K. Greer;
POL;336L;;Politics of Sexuality;3.0;;;GRNT 409;M. Novak-Herzog;
BIO;308L;;BIO 308 Lab 0 b A. Falk;3.0;;;YOUN 131;A. Falk;
HIS;500L;;Senior Seminar;3.0;;;CRNS 401 R;M. Castro;
CHE;131L;;General Chemistry-I;4.0;;;YOUN 110;R. Witt;E3
